:START_ID,:END_ID,:TYPE,confidence,activity_type,activity_value,units,pchembl_value,mechanism_of_action,assay_id
COMPOUND:CHEMBL534914,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,53000.0,nM,4.28,IC50 53000.0 nM,CHEMBL830894
COMPOUND:CHEMBL537624,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,87000.0,nM,4.06,IC50 87000.0 nM,CHEMBL830021
COMPOUND:CHEMBL537175,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,1000000.0,nM,None,IC50 1000000.0 nM,CHEMBL830021
COMPOUND:CHEMBL537174,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,1000000.0,nM,None,IC50 1000000.0 nM,CHEMBL830021
COMPOUND:CHEMBL537402,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,700000.0,nM,None,IC50 700000.0 nM,CHEMBL830021
COMPOUND:CHEMBL557160,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,1000000.0,nM,None,IC50 1000000.0 nM,CHEMBL830021
COMPOUND:CHEMBL537628,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,300000.0,nM,None,IC50 300000.0 nM,CHEMBL830021
COMPOUND:CHEMBL541126,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,540000.0,nM,None,IC50 540000.0 nM,CHEMBL830021
COMPOUND:CHEMBL559376,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,1000000.0,nM,None,IC50 1000000.0 nM,CHEMBL830021
COMPOUND:CHEMBL536949,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,750000.0,nM,None,IC50 750000.0 nM,CHEMBL830021
COMPOUND:CHEMBL557976,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,1500000.0,nM,None,IC50 1500000.0 nM,CHEMBL832275
COMPOUND:CHEMBL537401,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,1000000.0,nM,None,IC50 1000000.0 nM,CHEMBL830021
COMPOUND:CHEMBL534467,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,100000.0,nM,4.00,IC50 100000.0 nM,CHEMBL830021
COMPOUND:CHEMBL537623,TARGET:CHEMBL5020,INHIBITS,0.95,IC50,350000.0,nM,None,IC50 350000.0 nM,CHEMBL830021
COMPOUND:CHEMBL11371,TARGET:CHEMBL4003,BINDS,0.95,Vmax,5.3,IU mg-1,None,Vmax 5.3 IU mg-1,CHEMBL690517
COMPOUND:CHEMBL17962,TARGET:CHEMBL4003,BINDS,0.95,Km,7500000.0,nM,None,Km 7500000.0 nM,CHEMBL858416
COMPOUND:CHEMBL538419,TARGET:CHEMBL5677,INHIBITS,0.95,Ki,55000.0,nM,4.26,Ki 55000.0 nM,CHEMBL1058333
COMPOUND:CID24740,ENZYME:EC:1.14.99.39,INHIBITS,0.98,IC50,0.1,uM,,Irreversible Nitrification Inhibitor,
COMPOUND:CID10477,ENZYME:EC:1.14.99.39,INHIBITS,0.98,IC50,1.5,uM,,Metal Chelating AMO Inhibitor,
COMPOUND:CID6844,ENZYME:EC:1.14.99.39,INHIBITS,0.98,IC50,12.0,uM,,Substrate Analogue Inhibitor,
COMPOUND:CID6326,ENZYME:EC:1.14.99.39,INHIBITS,0.98,Ki,0.5,uM,,Mechanism-Based Suicidal Inhibitor,
COMPOUND:CID220509,ENZYME:EC:1.14.99.39,INHIBITS,0.98,IC50,0.8,uM,,Commercial Agricultural Inhibitor,
COMPOUND:CID9154,ENZYME:EC:1.14.99.39,INHIBITS,0.98,IC50,2.1,uM,,Triazole Synthetic Nitrification Inhibitor,
