uid:ID,name,:LABEL,canonical_id,synonyms,cross_references,smiles,formula,molecular_weight,bioactivity_summary
COMPOUND:CHEMBL1160819,"AMMONIA SOLUTION, STRONG",Entity;Compound,CHEMBL1160819,,ChEMBL:CHEMBL1160819,N,H3N,17.03,
COMPOUND:CHEMBL1201189,AMMONIA N 13,Entity;Compound,CHEMBL1201189,,ChEMBL:CHEMBL1201189,[13NH3],H3N,16.03,
COMPOUND:CHEMBL5715921,"Ammonia Monooxygenase, nitrification inhibitor, AMO",Entity;Compound,CHEMBL5715921,,ChEMBL:CHEMBL5715921,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C=O)CC(=O)O.O=C(O)C(F)(F)F,C25H35F3N6O11,652.58,
COMPOUND:CHEMBL161702,"Ammonia Monooxygenase, nitrification inhibitor, AMO",Entity;Compound,CHEMBL161702,,ChEMBL:CHEMBL161702,O=C(O)C(Cc1ccccc1)CN(O)C(=O)Cc1ccccc1,C18H19NO4,313.35,
COMPOUND:CHEMBL4778541,"Ammonia Monooxygenase, nitrification inhibitor, AMO",Entity;Compound,CHEMBL4778541,,ChEMBL:CHEMBL4778541,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1.Cl.Cl,C21H23Cl2N5O,432.36,
TARGET:CHEMBL5020,Peroxisomal primary amine oxidase,Entity;Target,CHEMBL5020,,ChEMBL:CHEMBL5020,,,,
COMPOUND:CHEMBL534914,Inhibitor/Ligand CHEMBL534914,Entity;Compound,CHEMBL534914,,ChEMBL:CHEMBL534914,CNc1cnccc1CN.Cl.Cl,C7H13Cl2N3,210.11,IC50=53000.0nM (pChEMBL: 4.28)
COMPOUND:CHEMBL537624,Inhibitor/Ligand CHEMBL537624,Entity;Compound,CHEMBL537624,,ChEMBL:CHEMBL537624,CCNc1cnccc1CN.Cl.Cl,C8H15Cl2N3,224.13,IC50=87000.0nM (pChEMBL: 4.06)
COMPOUND:CHEMBL537175,Inhibitor/Ligand CHEMBL537175,Entity;Compound,CHEMBL537175,,ChEMBL:CHEMBL537175,CC(C)Nc1cnccc1CN.Cl.Cl,C9H17Cl2N3,238.16,IC50=1000000.0nM (pChEMBL: None)
COMPOUND:CHEMBL537174,Inhibitor/Ligand CHEMBL537174,Entity;Compound,CHEMBL537174,,ChEMBL:CHEMBL537174,Cl.Cl.NCc1ccncc1NC1CC1.O,C9H17Cl2N3O,254.16,IC50=1000000.0nM (pChEMBL: None)
